image_id,urban,rural,uninhabited
148,0,0,1
149,0,0,1
150,0,0,1
151,0,0.25,0.75
152,0,0,1
153,0,0,1
154,0,0,1
155,0,0,1
156,0,0.25,0.75
157,0,0,1
158,0,0.75,0.25
159,0,0,1
160,0.25,0.75,0
161,0,1,0
162,0,0,1
163,0,0,1
164,0,0,1
165,0,0.25,0.75
166,0,0,1
167,0.5,0.5,0
168,0,0,1
169,0,0,1
170,0,0,1
171,0,1,0
172,0,0,1
173,0.25,0.75,0
174,0,0.25,0.75
175,0,1,0
176,0,0.25,0.75
177,0,0,1
178,0,0.25,0.75
179,0,0,1
180,0,0,1
181,0,0,1
182,0,0,1
183,0,0,1
184,0,0.25,0.75
185,0,0.25,0.75
186,0,0,1
187,0,0,1
188,0,0,1
189,0,0.75,0.25
190,0,0,1
191,0,0,1
192,0,0.25,0.75
193,1,0,0
194,0,0,1
195,0,0,1
196,0,0,1
197,0,0,1
198,0,0.25,0.75
199,0,0.25,0.75
200,0,0,1
201,0,0,1
202,0,0.25,0.75
203,0,0.25,0.75
204,0,0,1
205,0,0,1
206,0,0.5,0.5
207,0,0,1
208,0.25,0.75,0
209,0,0,1
210,0,0.25,0.75
211,0,0,1
212,0,0,1
213,0,0,1
214,0.5,0.5,0
215,0,0.25,0.75
216,0,0,1
217,0,0.75,0.25
218,0,0,1
219,0,0,1
220,0,1,0
221,0,0,1
222,0,0.25,0.75
223,0.25,0.75,0
224,0,0,1
225,0,0,1
226,0,0,1
227,0.25,0.75,0
228,0,0,1
229,0,0,1
230,0,0.25,0.75
231,0,1,0
232,1,0,0
233,0,0.25,0.75
234,0,0,1
235,0,0.25,0.75
236,0,1,0
237,0,0,1
238,0,1,0
239,0,0,1
240,0,0,1
241,0,0.25,0.75
242,0,0,1
243,0,0,1
244,1,0,0
245,0,1,0
246,0,0,1
247,0,0,1
248,0,1,0
249,0,0,1
250,0,0.5,0.5
251,0,0,1
252,0,0.25,0.75
253,0,0.25,0.75
254,0,0,1
255,0,0,1
256,1,0,0
257,0,1,0
258,0,0,1
259,0,0,1
260,0,0,1
261,0,0,1
262,0.25,0.75,0
263,0,1,0
264,0,0,1
265,0,0.5,0.5
266,0,0.25,0.75
267,0,0,1
268,0,1,0
269,0,0,1
270,0,0.25,0.75
271,0,0,1
272,0.25,0.75,0
273,0,0,1
274,0,0,1
275,0,0,1
276,0,0.5,0.5
277,0,0,1
278,0,0.25,0.75
279,0,0.25,0.75
280,0,1,0
281,0,0,1
282,0,0,1
283,0,0,1
284,0,0.25,0.75
285,0,0.25,0.75
286,0,1,0
287,0,0,1
288,0,0,1
289,0,0.25,0.75
290,0,1,0
291,0.25,0.75,0
292,0,0.75,0.25
293,1,0,0
294,0,0,1
295,0,0.5,0.5
296,0,0,1
297,0,0,1
298,0,1,0
299,0,0.25,0.75
300,0,0,1
301,0,0,1
302,0,0,1
303,0,0.25,0.75
304,0,0.25,0.75
305,0.25,0.75,0
306,0,0.25,0.75
307,0,0.25,0.75
308,0,0.25,0.75
309,0,0,1
310,0,0.5,0.5
311,0,0,1
312,0,0,1
313,0,1,0
314,0,0,1
315,0,0,1
316,0,0.25,0.75
317,0,0,1
318,0,0.25,0.75
319,0,0.25,0.75
320,0,0,1
321,0,0.25,0.75
322,0,0,1
323,0,0,1
324,0,1,0
325,0,0,1
326,0,0,1
327,0,0,1
328,0,0,1
329,0,0,1
330,0,1,0
331,0,0.25,0.75
332,0,0,1
333,0,0.25,0.75
334,1,0,0
335,0,1,0
336,0,0.25,0.75
337,0.25,0.75,0
338,0,0.25,0.75
339,0,0.25,0.75
340,0,0,1
341,0,0,1
342,0,0,1
343,0,0,1
344,0,0.25,0.75
345,0,0.25,0.75
346,0,0.75,0.25
347,1,0,0
348,0,1,0
349,0,0,1
350,0,0,1
351,0,0.25,0.75
352,0,0,1
353,1,0,0
354,0,0,1
355,0,0.5,0.5
356,0,0,1
357,0,0.25,0.75
358,0,0,1
359,0,0.25,0.75
360,0,0,1
361,0,0.25,0.75
362,0,0.25,0.75
363,0,0.25,0.75
364,0,0,1
365,0,0,1
366,0,0,1
367,0,0,1
368,0,0,1
369,0,0,1
370,0,0,1
371,0,0.75,0.25
372,0,0.25,0.75
373,0,0.75,0.25
374,0,0.25,0.75
375,0,0,1
376,0,0,1
377,0,0.5,0.5
378,0,0,1
379,0,1,0
380,0,0,1
381,0,0,1
382,0,0,1
383,0,0,1
384,0,1,0
385,0,0,1
386,0,0,1
387,0,1,0
388,0,0,1
389,0,0,1
390,0,0,1
391,0,0,1
392,0,0,1
393,0,0.75,0.25
394,0,0,1
395,0,0.25,0.75
396,0,0.25,0.75
397,0,0,1
398,0,0.75,0.25
399,0.25,0.75,0
400,0,0.25,0.75
401,0,0,1
402,0,0,1
403,0,0.25,0.75
404,0,0.25,0.75
405,0,0,1
406,0,0,1
407,0,0,1
408,0,1,0
409,0,0,1
410,0,0.25,0.75
411,0,1,0
412,0,0.25,0.75
413,0,0,1
414,0,0,1
415,0,0.25,0.75
416,0,1,0
417,0,0,1
418,0,0.25,0.75
419,0,0,1
420,0.25,0.75,0
421,0,0,1
422,0,0,1
423,0,0,1
424,0,0,1
425,0,0,1
426,0,0,1
427,0,0,1
428,0,0.25,0.75
429,0,0.25,0.75
430,0,0.25,0.75
431,0,0,1
432,0,0,1
433,0,0,1
434,0,0,1
435,0,0.25,0.75
436,0,0,1
437,0,0,1
438,0,0,1
439,0,0,1
440,0.25,0.75,0
441,0,1,0
442,0,0,1
443,0,0,1
444,0,0,1
445,0,1,0
446,0,1,0
447,0,0.25,0.75
448,0,0,1
449,0,0.25,0.75
450,0,0,1
451,0,0.25,0.75
452,0,0.25,0.75
453,0,0,1
454,0,0,1
455,0,0.25,0.75
456,0,1,0
457,0,0,1
458,0,0.25,0.75
459,0,1,0
460,0,0.25,0.75
461,0,0,1
462,0,1,0
463,0,0,1
464,0,0,1
465,0,0,1
466,0,0.25,0.75
467,0,0,1
468,0,0.25,0.75
469,0,1,0
470,0,0.25,0.75
471,0,0,1
472,0,0.25,0.75
473,0,0.25,0.75
474,0,0,1
475,0,0.25,0.75
476,0,0.25,0.75
477,0,0.25,0.75
478,0,0,1
479,0,0.25,0.75
480,0.25,0.75,0
481,0,0,1
482,0,0.25,0.75
483,0,1,0
484,0,0.25,0.75
485,0,1,0
486,0,0.75,0.25
487,0,0.25,0.75
488,0,0,1
489,0,0,1
490,0,0.25,0.75
491,0,0,1
492,0,0.25,0.75
493,0,0.25,0.75
494,0,0,1
495,0.5,0.5,0
496,0.25,0.75,0
497,0,0.25,0.75
498,0,1,0
499,0,0,1
500,0,0,1
501,0,0.25,0.75
502,0,0.25,0.75
503,0,0.25,0.75
504,1,0,0
505,0,0.25,0.75
506,0,0,1
507,0.5,0.5,0
508,0,0,1
509,0,0,1
510,0,0,1
511,0,1,0
512,0,0,1
513,0,1,0
514,0,0,1
515,0,1,0
516,0,0.25,0.75
517,0,0,1
518,0,0,1
519,0,0,1
520,0.25,0.75,0
521,0.5,0.5,0
522,0,0.25,0.75
523,0,0.25,0.75
524,0.25,0.75,0
525,0,0,1
526,0,1,0
527,0,1,0
528,0,0,1
529,0.25,0.75,0
530,0,0,1
531,0,0.25,0.75
532,0,0.25,0.75
533,0,0.25,0.75
534,0,1,0
535,0,0,1
536,0,0,1
537,0,0.25,0.75
538,0,0,1
539,0,0.25,0.75
540,0,0.25,0.75
541,0,0.25,0.75
542,0,0,1
543,0,0.25,0.75
544,0,0.25,0.75
545,0,0,1
546,0,0.5,0.5
547,0,0,1
548,0,0.25,0.75
549,0,0.5,0.5
550,0,0,1
551,0,0.25,0.75
552,0,0,1
553,0.25,0.75,0
554,0.5,0.5,0
555,0,0,1
556,0,0,1
557,0,0.25,0.75
558,0,0.25,0.75
559,0,0.25,0.75
560,0,0.25,0.75
561,0,0,1
562,0,0.5,0.5
563,0,0.25,0.75
564,0,0.25,0.75
565,0,0.25,0.75
566,0,0.25,0.75
567,0,0,1
568,0,0.5,0.5
569,0.25,0.75,0
570,0,0.25,0.75
571,0,0.25,0.75
572,0,0.25,0.75
573,0,0,1
574,0,0,1
575,0,0.5,0.5
576,0,0.5,0.5
577,0,0.5,0.5
578,0,0.5,0.5
579,0,0,1
580,0,0.5,0.5
581,0,0.75,0.25
582,0,0.25,0.75
583,0,0,1
584,0,0,1
585,0,0.25,0.75
586,0,0,1
587,0,0.25,0.75
588,0,1,0
589,0,1,0
590,0,0.25,0.75
591,0,0.25,0.75
592,0,0,1
593,0,0.25,0.75
594,0,0,1
595,0,0,1
596,0,0.25,0.75
597,0,0.25,0.75
598,0.75,0.25,0
599,0,0,1
600,0,0,1
601,0,0,1
602,0,1,0
603,0.5,0.5,0
604,0,0.25,0.75
605,0,0.25,0.75
606,0,0,1
607,0,0.25,0.75
608,0,0,1
609,0,0,1
610,0,1,0
611,0,1,0
612,0,0.25,0.75
613,0,0,1
614,0,0.25,0.75
615,0,0.5,0.5
616,0,0,1
617,0,1,0
618,0.25,0.75,0
619,0,0.25,0.75
620,0,0.25,0.75
621,0,0,1
622,0,0.25,0.75
623,0,0.5,0.5
624,0,0,1
625,0,1,0
626,0,0.25,0.75
627,0,1,0
628,0,0.25,0.75
629,0,0,1
630,0,0.25,0.75
631,0,0,1
632,0,0.25,0.75
633,0,0,1
634,0,0.25,0.75
635,0,0.25,0.75
636,0,0.25,0.75
637,0,0,1
638,0,0,1
639,0,0,1
640,0,0,1
641,0,0.25,0.75
642,0,1,0
643,0,0.25,0.75
644,0,0.25,0.75
645,0,0.25,0.75
646,0,0,1
647,0,0.25,0.75
648,0,0,1
649,0,0,1
650,0,0.25,0.75
651,0,0,1
652,0,0,1
653,0,0.25,0.75
654,0,1,0
655,0,0,1
656,0,0.25,0.75
657,0,0.75,0.25
658,0,0.75,0.25
659,0,0,1
660,0,0,1
661,0,0.75,0.25
662,0,0.25,0.75
663,0,0,1
664,0,0,1
665,0.75,0.25,0
666,0,0,1
667,0,0.25,0.75
668,0,1,0
669,0,0.25,0.75
670,0,0.25,0.75
671,0,0.25,0.75
672,0,0,1
673,0,0,1
674,0,0,1
675,0,0.25,0.75
676,0,0,1
677,0,0.25,0.75
678,0,0,1
679,0,0.25,0.75
680,0,0.25,0.75
681,0,0,1
682,0,0.25,0.75
683,0,1,0
684,0,0,1
685,0,0,1
686,0,1,0
687,0,0.5,0.5
688,0,0,1
689,0,0.25,0.75
690,0,0.75,0.25
691,0,0.75,0.25
692,0,0.5,0.5
693,0,1,0
694,0.5,0.5,0
695,0.5,0.5,0
696,0,1,0
697,0,0,1
698,0,0.25,0.75
699,0,0,1
700,0,0.25,0.75
701,0,0,1
702,0,0,1
703,0,0.25,0.75
704,0,0.25,0.75
705,0,0,1
706,0,0.25,0.75
707,0,0.25,0.75
708,0,0,1
709,0,0.5,0.5
710,0,0.5,0.5
711,0.25,0.5,0.25
712,0,0,1
713,0.5,0.5,0
714,0,0,1
715,0,0.25,0.75
716,0,0.25,0.75
717,0.25,0.75,0
718,0,0.25,0.75
719,0,0.25,0.75
720,0,0,1
721,0,1,0
722,0,0.25,0.75
723,0,0,1
724,0,0,1
725,0,0.25,0.75
726,0,0.25,0.75
727,0.25,0.75,0
728,0,0.25,0.75
729,0,0.25,0.75
730,0.25,0.75,0
731,0,1,0
732,0,0.25,0.75
733,0,0.75,0.25
734,0,0,1
735,0,0,1
736,0,0.5,0.5
737,0,0.75,0.25
738,0,0,1
739,0,0,1
740,0,0,1
741,0,0,1
742,0,1,0
743,0,0,1
744,0,0,1
745,0,0.5,0.5
746,0,0.25,0.75
747,0,0,1
748,0.5,0.5,0
749,0,0.25,0.75
750,0.75,0.25,0
751,0,0,1
752,0,1,0
753,0.25,0.75,0
754,0,0.25,0.75
755,0,0,1
756,0,0.25,0.75
757,0,1,0
758,0,1,0
759,0,0.25,0.75
760,0,0,1
761,0,0.25,0.75
762,0,0,1
763,0,0.5,0.5
764,0,0.25,0.75
765,0,0,1
766,0,0,1
767,0,1,0
768,0,0,1
769,0,0,1
770,0,0,1
771,0,0,1
772,0.25,0.75,0
773,0.5,0.5,0
774,0,1,0
775,0,0.5,0.5
776,0,0.25,0.75
777,0,0,1
778,0,0,1
779,0,0,1
780,0,0,1
781,0,0.25,0.75
782,0,0.25,0.75
783,0,0,1
784,0,0.25,0.75
785,0,0.25,0.75
786,0,0,1
787,0,0.25,0.75
788,0,0.25,0.75
789,0,0.25,0.75
790,0,0,1
791,0,0,1
792,0,0.25,0.75
793,0,1,0
794,0,0.25,0.75
795,0.5,0.5,0
796,1,0,0
797,0,0.25,0.75
798,0,0,1
799,0,0.25,0.75
800,0,0.25,0.75
801,0,0,1
802,0,0.25,0.75
803,0,0,1
804,0,0.25,0.75
805,0.25,0.75,0
806,0,0.25,0.75
807,0,0,1
808,0,1,0
809,0,0,1
810,0,0,1
811,0,0.25,0.75
812,0,0,1
813,0,1,0
814,0,0.25,0.75
815,0,0.25,0.75
816,0,0.25,0.75
817,0,0,1
818,0,0,1
819,0,0.25,0.75
820,0,0,1
821,0,0.25,0.75
822,0,0.25,0.75
823,0,0.25,0.75
824,0.25,0.75,0
825,0,0.25,0.75
826,0,0,1
827,0,0.25,0.75
828,0,0.25,0.75
829,0,1,0
830,0,0,1
831,0,0.25,0.75
832,0,0.75,0.25
833,0,0,1
834,0,1,0
835,0.25,0.75,0
836,0.25,0.75,0
837,0.75,0.25,0
838,0.75,0.25,0
839,0.5,0.5,0
840,0,0.75,0.25
841,0,0.25,0.75
842,0,0.25,0.75
843,0,0,1
844,0,0.25,0.75
845,0,0.25,0.75
846,0,0.5,0.5
847,0,0.5,0.5
848,0,0,1
849,0,1,0
850,0,0.25,0.75
851,0,0.75,0.25
852,0,0.25,0.75
853,0,0.25,0.75
854,0.25,0.75,0
855,0.25,0.75,0
856,0,0.5,0.5
857,0,0.25,0.75
858,0,0,1
859,0,0.25,0.75
860,0,0.75,0.25
861,0,0.25,0.75
862,0,0.25,0.75
863,0,0.75,0.25
864,0,0,1
865,0,0,1
866,0,1,0
867,0,0.25,0.75
868,0,0,1
869,0.5,0.5,0
870,0,0,1
871,0,0,1
872,0,0.25,0.75
873,0,0.25,0.75
874,0,0,1
875,0,1,0
876,0,0,1
877,0,0,1
878,0,0.25,0.75
879,0,0.25,0.75
880,0,0.5,0.5
881,0,0,1
882,0,0.25,0.75
883,0.5,0.5,0
884,0,0,1
885,0,1,0
886,0,0,1
887,0,1,0
888,0,0,1
889,0,1,0
890,0,0,1
891,0,0.25,0.75
892,0,0,1
893,0,0.25,0.75
894,0,0.25,0.75
895,0,0,1
896,0,0.25,0.75
897,0,0.75,0.25
898,0.5,0.5,0
899,0,0.5,0.5
900,0,0.25,0.75
901,0,0,1
902,0,0.5,0.5
903,0,0,1
904,0.5,0.5,0
905,0,0,1
906,0,0.25,0.75
907,0,0,1
908,0,0,1
909,0,0.25,0.75
910,0,0.25,0.75
911,0,0.5,0.5
912,0,1,0
913,0,0.25,0.75
914,0,0.25,0.75
915,0,0.25,0.75
916,0,1,0
917,0,0.25,0.75
918,1,0,0
919,0,0.5,0.5
920,0,0,1
921,0,0.25,0.75
922,0,0.25,0.75
923,0,0,1
924,0,0.25,0.75
925,0,0,1
926,0,0.25,0.75
927,0,0.25,0.75
928,0,0.25,0.75
929,0,0,1
930,0,0,1
931,0,0.25,0.75
932,0,0.25,0.75
933,0,0,1
934,0,0.75,0.25
935,0,1,0
936,0,0.25,0.75
937,0,1,0
938,0,0.25,0.75
939,0,0,1
940,0,1,0
941,0,1,0
942,0,0,1
943,0,0,1
944,0.25,0.75,0
945,0,0.5,0.5
946,0,0.25,0.75
947,0,0,1
948,0,0,1
949,0,1,0
950,0,1,0
951,0,0,1
952,0,0,1
953,0,0,1
954,0,0,1
955,0,0,1
956,0,0,1
957,0,0.25,0.75
958,0,0.25,0.75
959,0,0.75,0.25
960,0,0,1
961,0,0,1
962,0,0,1
963,0,0.25,0.75
964,0,0,1
965,0,0,1
966,0,0,1
967,0,0.25,0.75
968,0,0.25,0.75
969,0,1,0
970,0,0,1
971,0,1,0
972,0,0.25,0.75
973,0,0,1
974,0,0,1
975,0,0,1
976,0,0.25,0.75
977,0,0.25,0.75
978,0.25,0.75,0
979,0,0.25,0.75
980,0,0.25,0.75
981,0,0,1
982,0,0,1
983,0,1,0
984,0,0,1
985,0,0,1
986,0.5,0.5,0
987,0.5,0.5,0
988,0,0.5,0.5
989,0,0.5,0.5
990,0,1,0
991,0,0,1
992,0,0.5,0.5
993,0,1,0
994,0,0.25,0.75
995,0,0,1
996,0,0.25,0.75
997,0,0,1
998,0,1,0
999,0,0,1
1000,0,0,1
